,location code,user id,credit card info save,add to wishlist,desktop sessions,app sessions,desktop transactions,promotion clicks,sale product views,app transactions,customer service calls,churn
93,US,4009510,no,0,253,43,15,112,105,7,3,Yes
94,US,3876103,no,0,179,30,16,81,91,7,3,Yes
95,UAE,3664467,no,0,278,47,7,113,137,5,1,Yes
96,US,3703450,no,0,160,27,18,72,72,4,0,Yes
97,US,3273954,no,0,198,34,18,76,113,3,4,Yes
98,UAE,3556291,no,0,212,36,18,104,96,5,1,No
99,US,3629748,no,0,252,43,17,126,109,7,2,No
100,India,3796506,no,21,161,27,21,83,92,8,4,Yes
101,US,3477741,no,0,178,30,16,76,102,5,0,Yes
102,US,3543783,no,0,152,26,10,105,100,6,0,Yes
103,UAE,4017594,no,0,135,23,16,106,102,9,1,Yes
104,UAE,3974976,no,0,171,29,15,109,75,2,1,Yes
105,UAE,3342577,no,0,238,40,16,98,115,4,4,Yes
106,India,4003637,no,29,281,48,17,76,113,6,2,Yes
107,India,3834361,no,21,118,20,14,115,86,3,1,Yes
108,US,3714306,no,32,149,25,11,97,142,1,1,Yes
109,UAE,4034298,no,0,230,39,13,121,108,7,3,Yes
110,UAE,4093786,no,0,165,28,27,83,86,8,1,Yes
111,US,3374697,no,0,185,31,19,94,91,2,2,Yes
112,UAE,3831509,no,0,161,27,16,113,113,4,4,Yes
113,UAE,3599794,no,0,127,22,18,90,114,7,1,Yes
114,US,4077035,no,0,59,10,14,59,88,3,1,Yes
115,India,3631069,yes,42,197,33,22,122,126,6,0,No
116,India,3914652,no,0,163,28,13,109,122,3,1,Yes
117,US,3556837,no,0,283,48,19,48,115,4,1,No
118,India,4091244,no,36,114,19,13,82,118,3,2,Yes
119,UAE,3283266,no,0,240,41,18,111,81,5,2,Yes
120,UAE,3527072,no,0,210,36,19,77,116,7,1,Yes
121,UAE,3707550,no,22,214,36,12,86,123,3,0,Yes
122,India,3695526,no,0,191,32,16,117,103,4,3,Yes
123,US,3294391,no,0,171,29,11,95,89,3,1,Yes
124,India,4084195,no,0,154,26,9,98,117,5,2,Yes
125,UAE,3544445,no,0,201,34,20,104,106,3,1,Yes
126,US,3354858,no,0,71,12,13,87,82,3,4,No
127,India,4148718,no,27,188,32,12,103,129,6,4,No
128,UAE,4095939,no,0,92,16,16,123,86,4,2,Yes
129,UAE,3314902,no,36,214,36,14,117,102,4,3,Yes
130,US,3536870,no,0,146,25,19,114,123,2,3,Yes
131,UAE,3552909,no,0,166,28,13,86,80,5,1,Yes
132,US,3906101,no,0,231,39,20,140,120,3,1,Yes
133,UAE,4003446,no,0,200,34,17,102,60,1,4,Yes
134,UAE,4115859,no,0,197,33,17,128,80,10,1,Yes
135,India,3872919,yes,0,130,22,15,83,130,3,3,Yes
136,US,3748525,no,21,176,30,18,106,134,4,5,Yes
137,India,3795592,no,0,203,35,18,113,129,3,3,Yes
138,India,3458237,no,36,183,31,11,76,71,8,1,Yes
139,US,4226690,no,23,205,35,13,60,59,5,2,Yes
140,India,3462359,no,0,149,25,23,84,112,3,1,Yes
141,US,3743534,no,39,200,34,19,97,116,4,0,Yes
142,US,3814756,no,28,193,33,17,74,139,5,3,Yes
143,India,3902805,no,0,247,42,17,84,96,4,1,Yes
144,UAE,3902390,yes,0,167,28,15,87,132,7,2,No
145,US,4199097,no,0,232,39,14,94,98,6,3,Yes
146,UAE,3867281,no,0,147,25,17,78,110,3,1,Yes
147,UAE,3803561,yes,0,272,46,18,126,105,4,1,Yes
148,UAE,3908760,no,0,182,31,19,98,103,5,1,Yes
149,UAE,3666730,no,43,258,44,14,95,86,4,2,Yes
150,UAE,3955285,no,0,194,33,19,125,67,6,1,Yes
151,US,3543436,no,0,103,17,18,91,105,7,1,Yes
152,UAE,3367600,no,0,188,32,13,117,86,6,1,Yes
153,US,3836293,no,0,226,38,21,118,142,11,1,Yes
154,US,3624596,no,0,260,44,12,46,87,4,5,Yes
155,UAE,4013926,no,0,179,30,25,138,101,4,0,Yes
156,US,3709116,no,0,337,57,19,116,114,7,0,No
157,India,3286289,no,23,158,27,21,96,112,2,0,Yes
158,India,3509994,no,0,184,31,22,72,79,2,1,Yes
159,India,3514616,no,24,142,24,16,129,114,4,1,Yes
160,US,3605779,no,0,136,23,15,108,101,5,0,Yes
161,US,4174885,no,0,217,37,21,111,103,6,0,Yes
162,India,4064710,no,36,188,32,21,116,105,5,3,Yes
163,US,4098743,no,0,99,17,12,122,82,1,1,Yes
164,US,3354584,no,0,206,35,13,89,91,3,1,Yes
165,US,3619845,no,33,243,41,18,92,104,2,2,Yes
166,India,3665699,no,31,190,32,14,133,126,3,1,Yes
167,US,3299364,no,0,202,34,21,128,90,3,1,Yes
168,UAE,3907434,no,38,170,29,16,116,73,4,1,Yes
169,India,4049680,no,0,231,39,16,90,53,2,0,Yes
170,UAE,3389398,no,0,237,40,19,105,79,2,1,Yes
171,UAE,3942445,no,27,182,31,14,98,86,5,2,Yes
172,US,3812709,no,0,119,20,18,101,86,4,3,Yes
173,US,3975060,no,0,117,20,15,93,150,2,1,Yes
174,UAE,4152393,no,0,219,37,13,125,104,5,0,Yes
175,US,3771765,no,0,253,43,14,125,106,7,2,Yes
176,US,4092111,no,0,147,25,16,107,115,3,0,Yes
177,US,4013170,no,0,202,34,20,86,113,3,2,Yes
178,UAE,4055681,no,0,174,30,17,76,112,10,3,Yes
179,UAE,4114582,no,0,232,39,25,112,112,0,3,Yes
180,India,3555009,yes,23,197,34,18,136,103,5,4,Yes
181,US,3723750,no,0,58,10,12,118,91,1,5,No
182,UAE,4052888,no,36,116,20,20,94,103,12,2,Yes
183,UAE,3613337,no,0,186,32,22,57,127,7,2,Yes
184,India,3501639,yes,0,260,44,21,122,121,3,3,Yes
185,US,3333221,no,0,214,36,23,135,92,13,1,Yes
186,UAE,4221471,no,0,159,27,5,139,103,4,1,Yes
187,US,3997865,no,0,272,46,20,108,121,3,2,Yes
188,India,3734819,no,0,161,27,14,126,112,3,1,Yes
189,UAE,3386981,no,0,232,40,16,95,107,3,1,Yes
190,US,4184365,no,0,134,23,15,94,115,4,0,Yes
191,US,3595461,no,0,177,30,8,104,69,2,1,Yes
192,UAE,3753586,no,0,210,36,17,77,119,4,2,Yes
193,US,4078376,no,0,138,23,17,88,131,2,0,Yes
194,UAE,4086496,no,23,290,49,14,111,88,4,1,Yes
195,US,3857688,no,23,198,34,15,86,92,6,1,Yes
196,US,3326934,no,0,150,25,15,115,126,8,0,Yes
197,India,3783625,no,0,327,56,15,113,102,6,2,No
198,India,3537292,yes,26,293,50,17,97,127,7,4,No
199,UAE,3996786,no,0,83,14,15,106,89,3,0,Yes
200,US,3583261,no,24,146,25,19,136,96,5,3,Yes
201,UAE,3779932,no,0,182,31,28,93,131,1,2,Yes
202,US,3974030,no,0,218,37,16,94,110,8,3,Yes
203,India,3671062,no,0,141,24,15,51,83,3,2,Yes
204,US,3418467,no,0,153,26,22,80,93,4,1,Yes
205,US,3399453,no,36,107,18,18,77,117,2,1,Yes
206,US,3443388,no,0,244,41,7,72,84,8,2,Yes
207,US,3758013,no,0,194,33,16,95,90,5,3,Yes
208,India,4084142,no,0,214,36,13,70,124,5,3,Yes
209,India,3863671,no,0,217,37,21,89,89,7,3,Yes
210,US,4112284,no,0,241,41,13,98,109,10,1,Yes
211,India,3467795,yes,0,204,35,21,103,94,11,0,Yes
212,US,3335609,no,24,155,26,21,106,68,3,1,Yes
213,UAE,4051842,no,31,168,28,10,118,121,6,1,Yes
214,India,3666345,yes,0,227,39,19,115,93,4,2,No
215,US,3379345,no,0,179,30,15,98,131,6,3,Yes
216,US,3286770,no,0,151,26,16,76,120,3,0,Yes
217,US,3807321,no,0,180,31,19,82,91,7,3,Yes
218,US,3751476,no,0,250,43,23,118,114,2,1,No
219,US,3561567,no,0,223,38,9,98,107,12,0,Yes
220,US,4226685,no,0,184,31,13,98,99,6,3,Yes
221,UAE,3361090,no,22,166,28,15,103,68,6,1,Yes
222,US,3432095,no,0,136,23,23,96,104,2,1,Yes
223,UAE,3453934,no,0,149,25,21,122,104,6,2,Yes
224,UAE,3388050,no,0,65,11,14,76,113,1,2,Yes
225,US,3889568,no,0,213,36,20,94,123,4,1,Yes
226,US,4026591,no,0,207,35,21,78,136,2,3,Yes
227,UAE,4036419,no,27,186,32,16,83,139,3,2,Yes
228,US,3869790,no,23,280,48,19,92,102,3,4,Yes
229,US,3785692,no,22,197,33,27,92,108,3,0,Yes
230,UAE,3603324,yes,0,312,53,11,100,74,2,0,No
231,US,4103719,yes,36,199,34,25,111,92,6,1,Yes
232,US,3524221,no,0,203,35,18,126,122,2,3,Yes
233,US,3276179,no,0,169,29,19,87,113,2,0,Yes
234,US,3596196,yes,0,173,29,20,105,117,5,1,Yes
235,India,3749107,no,0,134,23,18,98,125,2,5,No
236,UAE,3574078,no,40,203,34,10,128,98,9,2,Yes
237,UAE,3665780,no,0,75,13,17,98,101,7,3,Yes
238,India,3939619,no,0,84,14,10,91,110,9,0,Yes
239,US,3559295,no,0,192,33,14,116,87,6,1,Yes
240,India,4005751,no,0,220,37,8,125,79,5,0,Yes
241,US,3381027,yes,0,135,23,11,102,81,2,2,No
242,US,4058867,no,0,253,43,16,151,103,2,1,Yes
243,UAE,3365616,no,0,225,38,15,63,110,2,3,Yes
244,UAE,3351697,no,0,199,34,23,60,75,3,0,No
245,UAE,3315138,no,0,110,19,14,93,96,5,0,Yes
246,US,3858240,no,37,60,10,9,80,106,3,0,Yes
247,India,3481359,no,0,215,37,13,58,66,5,0,Yes
248,UAE,3547339,no,0,182,31,17,98,97,2,4,Yes
249,India,3491687,no,23,154,26,24,137,112,4,2,Yes
250,US,3802558,no,29,157,27,10,80,79,11,4,No
251,US,3652153,no,0,208,35,15,109,143,7,4,Yes
252,UAE,3456043,no,0,207,35,20,83,108,8,3,Yes
253,India,3492808,no,41,119,20,20,134,58,3,0,Yes
254,US,4111715,yes,0,144,24,23,82,81,3,0,Yes
255,UAE,3852488,no,32,166,28,18,93,86,8,4,Yes
256,India,3777177,no,0,139,24,15,117,92,3,1,Yes
257,US,3421099,no,0,85,14,21,86,95,8,1,Yes
258,UAE,3864170,yes,0,63,11,15,126,80,2,1,No
259,India,4131269,no,0,155,26,20,123,80,4,1,Yes
260,India,3964460,no,25,165,28,18,105,55,9,1,Yes
261,UAE,3342730,no,0,135,23,12,112,61,1,1,Yes
262,US,3403182,no,0,143,24,18,108,96,3,1,Yes
263,India,3778608,no,0,168,29,19,73,136,1,1,Yes
264,UAE,4173676,no,0,262,45,17,113,85,6,2,Yes
265,India,4176774,no,30,206,35,22,91,83,6,1,Yes
266,India,4119554,no,28,226,38,16,117,100,9,4,Yes
267,UAE,4203192,no,0,138,24,14,78,98,6,3,Yes
268,India,3891475,no,48,94,16,12,101,89,4,0,Yes
269,UAE,3437734,yes,0,160,27,15,96,99,3,2,Yes
270,US,4103390,no,0,207,35,19,117,100,3,0,Yes
271,US,3446495,no,0,135,23,15,83,104,3,1,Yes
272,US,3316229,no,28,214,36,20,100,107,13,3,Yes
273,US,3377501,no,0,193,33,20,96,101,3,3,Yes
274,UAE,3399631,no,28,151,26,17,79,114,3,1,Yes
275,US,3694384,no,0,221,38,20,103,100,5,3,Yes
276,India,4163915,yes,0,219,37,18,85,99,4,0,Yes
277,UAE,3393049,no,48,190,32,10,67,106,2,2,No
278,US,3617998,no,25,193,33,19,105,59,6,2,Yes
279,India,3554842,yes,0,204,35,19,90,114,6,3,Yes
280,US,3876440,no,0,172,29,15,108,119,4,2,Yes
281,US,3692625,no,0,198,34,18,108,71,6,2,Yes
282,US,3897073,no,37,212,36,14,84,80,1,1,Yes
283,US,3708463,no,28,222,38,25,100,105,2,1,Yes
284,US,3627318,no,0,198,34,15,109,56,5,3,Yes
285,UAE,4121194,no,24,148,25,15,108,102,3,2,Yes
286,India,3559508,no,0,206,35,11,102,84,5,2,Yes
287,UAE,3528202,no,0,206,35,18,86,84,4,2,Yes
288,India,3355882,no,0,208,35,11,63,98,5,0,Yes
289,India,3526976,no,0,304,52,22,114,89,3,1,No
290,US,3936733,no,34,231,39,19,99,94,2,0,Yes
291,India,3351838,no,0,100,17,11,80,124,3,0,Yes
292,India,3556930,no,0,177,30,16,112,108,4,1,Yes
293,US,3875860,no,37,173,29,10,116,86,5,5,No
294,India,3432605,no,18,173,29,11,113,70,3,1,Yes
295,India,3506759,no,0,204,35,15,152,109,5,1,Yes
296,US,3711514,no,0,86,15,21,67,85,5,2,Yes
297,US,3469317,no,0,158,27,16,58,99,1,0,Yes
298,US,3984313,no,0,216,37,19,117,91,9,4,Yes
299,US,4124399,no,0,182,31,17,88,114,5,1,Yes
300,US,3301835,no,0,172,29,9,81,111,4,2,Yes
301,US,4161676,no,0,267,45,23,168,119,2,1,No
302,UAE,3297347,no,0,170,29,30,68,87,3,0,No
303,US,3606868,no,0,158,27,25,114,89,4,1,Yes
304,India,4056641,no,0,92,16,22,77,90,10,1,Yes
305,US,3932373,no,0,234,40,21,114,70,5,2,Yes
306,US,4191714,no,0,272,46,23,118,105,10,1,No
307,UAE,3363819,no,0,296,50,18,89,107,3,4,No
308,India,3413464,no,0,194,33,16,82,107,2,0,Yes
309,US,4135310,no,0,227,39,22,92,74,4,3,Yes
310,US,3667912,no,0,249,42,19,118,78,2,1,No
311,US,3998845,no,38,236,40,17,112,82,6,1,Yes
312,India,3682583,no,0,206,35,14,93,64,3,0,Yes
313,UAE,3606309,no,0,94,16,24,122,77,4,0,Yes
314,UAE,3595890,no,0,125,21,17,107,111,2,0,Yes
315,UAE,3322462,no,0,60,10,26,120,46,3,1,Yes
316,US,3819196,no,28,121,21,23,100,76,4,2,Yes
317,US,3293222,no,29,118,20,22,114,76,3,3,Yes
318,India,3635819,no,21,232,40,18,118,102,5,3,Yes
319,India,4139269,yes,32,224,38,16,74,101,2,2,No
320,India,3307483,no,0,176,30,22,97,78,3,0,Yes
321,US,4037775,no,32,125,21,15,105,89,3,1,Yes
322,UAE,3602479,no,0,139,24,22,113,74,3,0,Yes
323,US,3943791,no,0,86,15,21,92,91,4,1,Yes
324,UAE,3842632,no,0,207,35,13,121,112,5,3,Yes
325,India,3598466,no,30,59,10,19,107,118,3,0,Yes
326,UAE,3318909,no,35,69,12,18,69,42,4,1,Yes
327,UAE,3595160,no,33,239,41,20,112,95,4,1,Yes
328,India,3309833,no,0,198,34,18,86,96,3,0,Yes
329,India,3622314,no,0,205,35,20,77,108,12,0,Yes
330,India,3388478,no,0,192,33,27,135,94,2,3,Yes
331,US,3875453,no,0,273,46,21,74,111,2,1,No
332,US,3803437,no,0,128,22,17,93,152,5,7,No
333,India,3658779,no,0,170,29,22,87,78,4,0,Yes
334,India,4072750,no,0,201,34,13,66,101,4,1,Yes
335,UAE,3968265,no,17,215,37,12,90,44,4,1,Yes
336,India,3974304,no,0,169,29,23,77,104,2,0,Yes
337,US,3332611,no,0,194,33,15,110,136,7,2,Yes
338,India,4098814,no,0,234,40,23,94,104,3,2,Yes
339,UAE,3365406,no,0,225,38,17,127,102,2,0,Yes
340,US,3436940,no,0,213,36,15,71,126,1,1,No
341,US,3619923,no,0,184,31,22,101,145,11,1,Yes
342,US,3506639,no,34,222,38,14,85,62,7,0,Yes
343,UAE,3764300,no,21,65,11,15,86,84,0,2,Yes
344,India,3496567,no,37,155,26,7,103,99,3,1,Yes
345,US,3337749,no,0,260,44,15,120,119,8,3,Yes
346,US,4086089,no,33,162,27,10,90,101,5,1,Yes
347,India,3752165,no,0,221,38,13,121,89,11,1,Yes
348,US,4006999,no,41,156,27,14,107,105,5,3,Yes
349,India,4207823,no,0,107,18,9,67,74,3,4,No
350,India,3665241,no,0,183,31,17,95,100,8,4,Yes
351,US,4133412,yes,38,220,37,20,71,85,4,4,Yes
352,UAE,4062752,no,0,152,26,15,132,87,3,1,Yes
353,US,3378078,no,0,182,31,17,88,82,9,2,Yes
354,UAE,4021942,yes,0,236,40,19,85,97,2,2,No
355,US,3717917,no,0,166,28,7,93,98,2,1,Yes
356,UAE,3436374,yes,0,245,42,16,80,114,4,1,Yes
357,UAE,3858730,no,23,134,23,19,132,96,2,2,Yes
358,UAE,3937892,yes,39,150,25,18,75,90,4,1,Yes
359,UAE,4076748,no,29,150,26,23,103,97,4,1,Yes
360,UAE,3414463,yes,0,257,44,27,127,82,6,1,No
361,US,3512587,no,0,124,21,15,81,99,6,0,Yes
362,US,4219752,no,36,142,24,20,113,131,5,1,Yes
363,UAE,3564001,no,0,230,39,9,138,136,3,2,Yes
364,UAE,3289869,no,0,162,28,18,118,81,2,0,Yes
365,US,3435709,no,0,351,60,18,94,100,9,1,No
366,US,3341872,no,0,193,33,22,123,115,3,4,Yes
367,US,3501040,no,0,78,13,22,108,100,3,1,Yes
368,US,3693214,no,0,83,14,20,137,114,5,1,Yes
369,US,3856778,no,0,196,33,23,120,76,2,0,Yes
370,US,3837689,no,0,202,34,19,114,82,6,1,Yes
371,UAE,3855722,no,0,197,33,19,102,91,6,2,Yes
372,US,3571909,yes,0,218,37,10,88,95,1,0,No
373,US,3643567,no,0,165,28,20,96,108,2,2,Yes
374,US,4224241,no,0,179,30,18,99,58,6,2,Yes
375,US,3702957,no,21,214,36,15,114,82,5,0,Yes
376,US,3296562,no,0,171,29,10,116,111,7,2,Yes
377,UAE,3633515,no,0,206,35,18,108,106,18,1,Yes
378,US,3747787,yes,0,166,28,24,112,89,2,1,No
379,US,3452931,no,0,221,38,14,113,96,4,2,Yes
380,India,3735732,no,0,242,41,16,93,50,2,3,Yes
381,US,3487437,no,0,152,26,13,96,112,4,1,Yes
382,US,3329460,yes,0,176,30,12,81,92,4,0,Yes
383,US,3556531,yes,22,196,33,27,82,120,5,1,Yes
384,UAE,3369390,no,0,160,27,21,90,82,4,2,Yes
385,US,3468581,no,0,230,39,19,79,111,7,4,Yes
386,US,3638824,no,0,147,25,23,99,98,1,3,Yes
387,India,3533351,no,0,211,36,17,83,53,5,1,Yes
388,US,3604320,no,0,102,17,23,139,105,3,1,Yes
389,India,4176252,no,0,126,21,20,73,100,6,3,Yes
390,US,3934949,no,0,168,29,21,89,102,2,1,Yes
391,US,4013156,no,0,106,18,22,129,77,3,0,Yes
392,US,3386283,no,0,207,35,15,152,115,5,5,Yes
393,India,3529017,no,0,217,37,17,100,91,3,2,Yes
394,India,4055305,no,0,230,39,17,108,91,2,0,No
395,US,3769249,no,22,278,47,8,143,42,5,0,Yes
396,UAE,3397139,no,0,139,24,17,93,137,4,0,Yes
397,US,3286011,no,0,234,40,24,109,121,2,1,No
398,India,3781303,no,0,182,31,11,112,118,4,1,Yes
399,US,4025155,no,0,167,28,20,68,118,5,1,No
400,US,3335430,no,31,121,21,19,98,110,1,1,Yes
401,US,3659696,no,0,221,38,9,94,112,3,0,Yes
402,UAE,4104023,no,26,146,25,16,89,96,2,1,Yes
403,India,4117649,no,0,223,38,14,107,112,6,1,Yes
404,US,3384065,no,0,183,31,21,115,100,3,4,Yes
405,US,4219401,yes,0,264,45,14,115,73,5,0,Yes
406,US,3439658,no,0,146,25,9,79,108,7,0,Yes
407,India,3325521,no,0,157,27,16,122,59,5,4,No
408,India,3494369,yes,0,127,22,21,81,88,3,1,Yes
409,US,3514288,no,0,188,32,17,117,108,4,2,Yes
410,UAE,4225874,no,0,179,30,12,72,99,5,2,Yes
411,US,3962324,no,0,97,17,16,90,92,6,2,Yes
412,US,4165662,no,0,260,44,21,117,72,1,0,Yes
413,US,3639663,no,0,257,44,17,90,122,5,3,Yes
414,US,4109477,no,0,170,29,11,87,92,3,0,Yes
415,US,3524418,no,0,240,41,24,110,88,3,2,No
416,India,3616563,yes,0,172,29,14,103,102,2,1,No
417,UAE,4174404,no,0,240,41,15,106,93,2,0,Yes
418,UAE,3728048,no,34,142,24,17,79,81,6,1,Yes
419,US,3563646,no,0,184,31,28,73,106,6,2,Yes
420,US,3519604,no,28,207,35,22,126,124,11,2,Yes
421,India,3559581,no,0,260,44,15,94,112,1,1,Yes
422,US,3965189,no,0,204,35,24,76,83,3,0,Yes
423,US,3569187,no,45,249,42,12,77,102,2,3,Yes
424,US,3945537,no,16,222,38,11,123,108,3,1,Yes
425,India,4082712,yes,0,193,33,16,101,130,4,1,Yes
426,US,4044486,no,0,122,21,10,108,97,7,1,Yes
427,US,3551113,no,40,105,18,18,93,128,9,1,Yes
428,UAE,4114674,no,0,173,29,17,106,128,5,3,Yes
429,India,3764519,no,0,119,20,23,92,153,7,2,Yes
430,India,3655979,no,0,250,43,22,90,104,2,2,No
431,US,3822879,no,0,178,30,24,110,98,4,1,Yes
432,India,4201383,no,0,243,41,15,97,94,2,1,Yes
433,US,4117390,no,0,155,26,15,101,125,5,2,Yes
434,UAE,3838848,no,31,289,49,17,102,49,3,0,Yes
435,India,3879301,no,29,240,41,10,91,108,3,1,Yes
436,US,3993164,no,0,190,32,26,96,134,3,1,Yes
437,India,3858997,no,0,278,47,15,74,126,4,0,No
438,India,3526573,no,0,155,26,28,106,123,3,1,Yes
439,US,4083384,no,0,154,26,17,102,86,2,2,Yes
440,India,4196033,no,27,273,46,13,99,112,6,1,Yes
441,UAE,3362090,no,0,155,26,23,95,67,4,0,Yes
442,India,3437242,no,29,133,23,19,82,103,3,1,Yes
443,India,3761713,no,0,247,42,16,121,109,5,1,Yes
444,UAE,3815878,yes,0,165,28,17,126,110,7,2,Yes
445,India,3905470,no,0,60,10,22,106,86,6,0,Yes
446,India,4144803,no,0,138,24,20,138,110,4,3,Yes
447,India,3825478,no,0,287,49,11,121,122,5,2,Yes
448,US,3337637,no,0,117,20,17,61,82,3,1,Yes
449,India,3411647,no,21,264,45,17,118,92,3,4,Yes
450,UAE,4114232,no,0,128,22,23,124,76,5,0,Yes
451,UAE,3392616,no,23,226,38,21,105,81,2,0,Yes
452,India,3273850,no,0,149,25,21,105,94,3,0,Yes
453,US,3287209,no,20,199,34,23,88,76,9,1,Yes
454,UAE,4056189,no,0,256,44,23,100,101,1,1,No
455,US,4186737,no,0,265,45,21,112,115,2,1,No
