,Kid home,Teen home,Wines,Fruits,Meat Products,Fish Products,Sweet Products,Gold Prods,Num Deals Purchases,NumWebVisitsMonth,Complain,Response,Age,Customer_Days,Income
129,0,0,962,61,921,52,61,20,1,2,0,0,28,2777,92859
130,0,1,738,0,232,13,20,50,2,7,0,1,44,2386,65104
131,0,0,399,28,756,36,40,126,1,2,0,0,58,2595,86111
132,0,1,614,16,132,43,33,33,3,6,0,0,46,2464,68352
133,1,0,32,34,41,73,16,116,3,7,0,0,32,2626,41883
134,0,2,598,16,141,32,41,49,3,8,0,0,44,2778,59809
135,1,0,2,1,18,20,11,16,1,6,0,1,45,2768,23957
136,1,0,6,1,10,0,1,4,1,8,1,0,39,2464,38547
137,2,1,73,3,90,12,1,32,7,8,0,0,47,2835,35688
138,0,0,42,16,29,12,20,8,1,3,0,0,54,2167,49605
139,0,2,295,21,78,39,13,13,1,3,0,0,67,2225,59354
140,0,1,346,17,48,23,13,13,4,6,0,0,51,2273,65747
141,0,1,233,20,57,8,20,91,4,7,0,0,48,2721,46344
142,1,0,5,7,24,19,14,20,4,6,0,0,32,2207,34176
143,0,1,888,0,57,0,0,76,2,5,0,0,68,2787,61010
144,0,0,997,26,269,34,13,42,1,4,0,1,71,2654,69372
145,0,1,212,6,69,4,12,3,3,7,0,0,62,2515,49967
146,1,2,8,1,7,2,0,0,1,4,0,0,42,2449,60199
147,0,1,42,11,57,10,28,14,1,2,0,0,43,2414,55375
148,0,0,536,11,387,149,91,57,1,1,0,0,65,2472,80317
149,2,1,5,0,3,0,0,5,1,7,0,0,62,2522,30523
150,0,0,1349,16,249,43,16,33,2,6,0,0,75,2760,70356
151,1,0,53,3,49,7,4,5,4,8,0,0,36,2334,23228
152,0,0,1001,12,240,16,12,12,1,2,0,0,45,2583,74165
153,2,1,18,1,32,6,3,28,3,6,0,0,54,2387,43482
154,0,0,125,16,98,134,21,27,1,3,0,0,67,2382,62551
155,0,0,212,5,33,7,0,2,1,4,0,0,61,2464,52332
156,0,0,277,162,305,173,76,124,1,1,0,0,32,2398,66951
157,1,1,15,10,19,8,17,20,3,5,0,0,63,2283,26091
158,1,1,7,3,10,8,1,7,2,7,0,0,55,2228,33456
159,1,0,12,4,6,11,8,16,2,8,0,0,38,2510,28718
160,2,0,85,7,24,2,3,27,1,6,0,0,50,2228,50447
161,1,1,81,0,6,0,0,6,2,5,0,0,61,2309,53537
162,0,1,59,0,12,0,0,48,1,4,0,0,53,2245,52074
163,0,1,1149,71,449,69,71,26,1,5,0,0,45,2814,80427
164,0,0,847,66,119,86,89,111,1,4,0,1,72,2719,83837
165,1,1,29,0,14,0,0,2,2,7,0,0,50,2196,38853
166,2,1,2,0,5,2,0,1,1,2,0,0,61,2164,38285
167,0,0,207,26,447,75,0,223,1,2,0,0,69,2369,78497
168,0,1,152,3,22,2,5,7,1,5,0,0,44,2208,51650
169,1,0,12,11,10,3,12,9,3,6,0,0,32,2209,16248
170,0,0,620,26,195,34,17,141,1,2,0,0,74,2433,66835
171,1,0,47,1,6,0,0,12,1,6,0,0,36,2317,30477
172,0,0,1,9,7,2,14,10,1,6,0,0,59,2173,28249
173,1,0,10,1,18,10,4,7,1,9,0,0,37,2730,25271
174,0,1,35,0,2,0,0,2,2,5,0,0,50,2272,32303
175,0,1,356,0,107,19,9,117,2,5,0,0,54,2490,61286
176,0,0,783,30,537,140,76,15,1,2,0,0,44,2626,74068
177,1,1,42,1,18,3,0,4,2,7,0,0,56,2650,45759
178,1,0,1,4,10,29,0,36,1,6,0,0,42,2817,24882
179,0,0,466,22,432,147,113,102,1,3,0,0,31,2567,66973
180,1,0,23,3,21,3,19,22,2,8,0,0,32,2554,38872
181,1,1,235,6,45,8,9,12,4,6,0,0,47,2655,51148
182,1,1,10,0,10,3,1,7,2,8,0,0,43,2341,31353
183,0,0,656,16,106,32,16,8,1,3,0,0,40,2206,69661
184,0,0,519,17,813,27,173,51,1,2,0,0,66,2442,80067
185,0,0,344,189,482,50,33,172,1,2,0,0,66,2687,86718
186,1,1,96,1,79,7,1,79,6,8,0,1,47,2249,46854
187,0,1,448,4,34,6,4,39,3,5,0,0,68,2159,69142
188,0,0,265,138,553,224,23,92,1,1,0,0,52,2361,75922
189,0,1,587,43,337,42,87,54,3,6,0,0,42,2417,63693
190,0,0,763,29,138,76,176,58,0,4,0,1,43,2763,102160
191,1,1,22,0,13,0,0,3,2,7,0,0,55,2506,40637
192,0,0,6,4,1,7,2,15,1,6,0,1,36,2755,18890
193,1,0,7,6,13,7,6,14,1,9,0,0,32,2362,29604
194,1,1,81,18,113,47,13,21,6,6,0,0,57,2571,48721
195,0,1,54,0,7,0,0,4,1,6,0,0,54,2180,44794
196,0,1,1170,48,320,42,32,192,5,8,0,1,66,2816,64497
197,0,1,72,24,68,65,4,8,5,4,0,0,64,2614,46097
198,0,0,613,22,319,33,102,12,1,1,0,0,66,2262,77972
199,1,1,224,0,30,0,0,10,8,8,0,0,52,2791,44377
200,1,1,410,0,59,19,9,44,10,7,0,0,46,2683,46014
201,0,0,239,10,554,254,87,54,1,1,0,0,35,2580,70951
202,1,0,171,7,171,25,19,89,6,8,0,0,43,2248,41443
203,2,1,12,0,4,0,0,1,1,8,0,0,42,2207,52195
204,0,0,1076,16,417,42,48,16,1,3,0,0,72,2385,83790
205,0,1,182,4,33,0,0,66,2,7,0,0,66,2461,44551
206,1,0,824,32,162,42,32,43,2,6,0,0,40,2751,69508
207,1,0,30,11,25,29,1,18,1,3,0,0,32,2238,45204
208,0,0,377,10,540,80,30,10,1,1,0,0,51,2386,72460
209,0,2,520,7,154,19,0,14,2,3,0,0,50,2235,77622
210,1,0,155,1,25,0,1,3,4,8,0,0,40,2699,30732
211,0,1,897,23,207,15,11,92,5,6,0,0,58,2818,63887
212,1,0,131,0,16,2,1,39,4,8,0,0,42,2619,42011
213,0,1,297,7,79,0,11,182,2,8,0,0,44,2771,51369
214,0,1,787,20,204,0,0,92,3,8,0,0,68,2726,51537
215,0,0,792,86,740,67,51,17,1,2,0,0,48,2849,79930
216,1,0,4,1,9,3,0,0,1,8,0,0,34,2292,34320
217,1,1,231,7,137,4,15,39,9,7,0,1,54,2625,37070
218,0,1,983,76,184,180,138,27,1,7,0,0,58,2699,81975
219,1,0,3,1,8,4,3,3,1,8,0,0,49,2569,38590
220,0,0,0,4,5,6,0,4,1,3,0,0,69,2233,15033
221,0,1,562,21,464,28,10,32,3,5,0,0,55,2622,62745
222,1,0,5,9,20,6,8,21,2,6,0,0,45,2361,22212
223,1,0,18,0,4,0,0,1,1,7,0,0,38,2366,23661
224,0,1,415,5,124,15,35,11,1,3,0,0,62,2427,79761
225,1,0,5,3,10,12,7,20,4,7,0,0,47,2344,7500
226,0,0,901,61,757,186,163,20,1,3,0,0,52,2403,73455
227,0,1,382,114,276,75,124,38,2,3,0,0,62,2712,64961
228,1,0,14,1,7,2,1,1,1,9,0,0,49,2492,22804
229,0,0,559,153,503,218,13,181,1,2,0,1,30,2372,73687
230,0,1,789,0,133,0,28,152,7,7,0,0,62,2840,61074
231,1,1,11,0,5,0,0,1,2,6,0,0,56,2183,31686
232,1,0,1218,16,272,104,0,80,2,6,0,1,48,2564,80134
233,0,1,925,64,179,133,12,77,2,5,0,0,67,2695,75027
234,0,0,864,134,768,150,38,172,1,3,0,0,32,2826,67546
235,0,1,960,28,183,220,70,70,4,6,0,0,51,2767,65176
236,1,0,16,3,25,6,1,13,2,8,0,0,45,2445,31160
237,1,0,3,3,7,0,2,11,2,6,0,0,35,2404,29938
238,0,0,168,148,444,32,172,148,1,2,0,1,46,2609,102692
239,0,0,45,47,52,21,20,25,2,6,0,0,62,2804,26490
240,1,1,650,28,353,45,42,30,5,8,0,0,53,2828,75702
241,1,0,24,0,8,0,0,1,2,6,0,0,46,2783,30899
242,0,1,918,21,118,13,10,21,3,6,0,0,59,2780,63342
243,0,1,138,33,87,28,24,12,4,3,0,0,56,2774,45989
244,1,1,12,4,2,10,6,10,4,5,0,0,56,2549,18701
245,2,1,11,0,4,0,0,2,1,8,0,0,63,2362,40737
246,1,0,1,2,8,4,3,13,2,7,0,1,41,2786,15287
247,0,2,554,41,215,11,0,24,3,5,0,0,52,2562,69674
248,1,0,167,2,62,24,13,7,4,5,0,0,50,2171,44159
249,1,0,9,0,6,4,1,5,1,9,0,0,42,2742,37717
250,1,1,177,2,71,3,2,20,6,8,0,1,68,2670,43776
251,1,1,38,4,22,4,2,20,4,7,0,0,54,2631,38179
252,0,0,483,84,398,205,84,241,1,1,0,0,57,2162,80124
253,1,1,77,2,35,0,1,69,4,7,0,1,50,2781,38097
254,0,0,182,74,298,162,149,116,1,1,0,0,50,2534,72940
255,1,0,10,7,19,8,2,21,2,6,0,0,50,2427,22070
256,0,0,778,44,499,95,73,146,2,7,0,1,67,2804,69267
257,1,0,16,7,23,0,8,6,3,5,1,0,37,2260,31788
258,0,1,167,0,43,6,2,13,2,5,0,0,45,2304,61905
259,1,1,13,2,14,8,7,4,4,6,0,0,60,2243,29315
260,1,1,33,6,40,3,7,10,3,7,0,0,57,2667,33378
261,0,1,625,7,99,10,22,7,2,4,0,0,57,2445,66313
262,0,0,216,162,224,101,92,162,2,5,0,1,64,2687,60714
263,0,0,68,129,396,188,22,15,1,1,0,0,39,2219,77882
264,0,0,196,0,512,33,130,54,1,1,0,1,34,2612,69867
265,0,1,635,15,100,20,7,131,1,6,0,0,52,2593,63841
266,1,0,4,19,9,28,25,17,3,7,0,0,39,2662,24480
267,0,1,297,7,79,0,11,182,2,8,0,0,44,2771,51369
268,0,0,84,5,38,150,12,28,2,7,0,0,74,2826,37760
269,0,1,204,7,149,20,15,66,1,2,0,0,46,2279,65640
270,1,1,26,0,8,0,0,3,2,5,0,0,45,2232,44319
271,1,0,15,6,20,4,5,20,1,7,0,0,46,2511,30631
272,0,0,304,98,230,150,74,74,1,3,0,0,68,2675,75278
273,1,1,285,28,242,55,114,135,13,5,0,0,64,2696,50898
274,0,0,395,183,565,166,141,28,1,3,0,0,54,2207,79946
275,0,0,248,3,81,4,3,51,3,8,0,0,71,2540,35416
276,0,0,20,6,5,0,9,12,1,7,0,0,36,2519,32414
277,1,0,39,0,56,20,8,14,3,7,0,0,51,2343,38361
278,0,0,777,129,573,216,21,203,1,4,0,0,40,2765,82497
279,2,0,8,3,22,21,1,13,3,9,0,0,49,2324,16626
280,1,1,9,1,3,0,4,8,1,6,0,0,55,2633,29672
281,0,1,1241,0,80,0,13,40,3,8,0,0,68,2834,55951
282,1,0,6,4,7,4,3,8,1,7,0,0,32,2638,35388
283,1,0,65,4,16,0,4,11,1,8,0,0,34,2691,42386
284,0,0,395,15,263,60,54,38,1,1,0,0,38,2692,68627
285,0,1,801,0,80,0,0,35,5,5,0,0,55,2263,57912
286,1,1,36,0,12,2,2,10,4,5,0,0,62,2233,35246
287,0,1,513,14,154,19,0,28,1,6,0,0,64,2419,58821
288,1,0,37,0,46,4,3,0,1,4,0,0,42,2279,46377
289,1,0,80,15,93,20,13,52,3,8,0,0,32,2236,39747
290,1,0,14,1,21,2,3,25,3,7,0,0,36,2343,23976
291,0,0,525,147,112,219,147,63,1,2,0,0,59,2617,80950
292,0,0,1,26,25,17,23,15,1,9,0,1,54,2808,27038
293,0,0,675,11,400,15,45,11,1,1,0,0,73,2275,77457
294,0,1,509,0,27,0,0,10,1,7,0,0,56,2451,64100
295,0,0,154,2,46,20,4,15,1,4,0,0,28,2587,42670
296,1,0,3,5,14,2,12,17,4,6,0,0,44,2321,12571
297,2,1,25,0,8,2,0,2,2,7,0,0,53,2403,22574
298,0,0,768,44,561,77,44,14,1,3,0,0,44,2667,70893
299,1,1,185,0,28,3,2,17,6,4,0,0,54,2353,54198
300,1,1,24,0,7,0,0,1,2,5,0,0,64,2269,28839
301,1,1,44,4,21,6,0,27,2,7,0,0,48,2494,40321
302,1,0,91,64,128,65,3,50,2,3,0,0,35,2843,66503
303,1,1,11,0,7,3,1,6,2,5,0,0,69,2507,30833
304,0,1,412,5,119,38,29,77,3,2,0,0,49,2687,64795
305,1,0,3,3,7,6,2,9,1,7,0,0,46,2522,34421
306,1,1,16,0,3,0,0,1,1,7,0,0,55,2299,47025
307,0,1,731,60,353,78,12,73,5,7,0,0,59,2666,64325
308,0,1,424,17,118,7,23,41,6,8,0,0,67,2693,40464
309,0,0,792,0,275,45,45,126,1,3,0,0,63,2518,62187
310,1,0,21,2,28,3,2,9,3,8,0,0,44,2521,14849
311,1,0,22,1,11,0,1,2,1,7,0,0,36,2393,27255
312,2,1,33,0,5,0,0,0,1,4,0,0,70,2575,54432
313,1,0,68,7,59,10,5,11,4,8,0,0,34,2660,29999
314,1,0,9,1,6,3,0,4,1,8,0,0,37,2598,24072
315,0,0,40,2,15,8,0,6,1,4,0,0,31,2450,33996
316,0,1,909,11,218,0,0,23,2,5,0,1,64,2611,66334
317,1,0,23,1,13,2,2,18,1,7,0,1,49,2694,35178
318,1,0,11,2,9,3,0,8,2,8,0,0,37,2523,22010
319,0,2,317,46,247,151,46,139,1,3,0,0,60,2814,62204
320,0,0,797,153,293,72,97,30,1,4,0,1,52,2729,75693
321,1,0,10,2,16,11,2,21,1,8,0,0,48,2753,30675
322,0,0,856,61,570,40,25,122,1,3,0,1,55,2642,83003
323,0,0,456,19,832,75,118,38,1,3,0,0,32,2847,68655
324,0,0,37,32,38,11,3,18,1,6,0,0,34,2363,41411
325,0,1,1103,0,45,0,0,34,3,8,0,0,51,2742,55212
326,0,1,378,14,68,19,14,14,2,3,0,0,70,2540,59292
327,1,0,1,6,7,0,1,3,1,8,0,1,47,2477,27190
328,0,0,204,34,204,172,153,173,1,1,0,0,68,2390,82623
329,1,1,30,0,9,0,0,3,2,6,0,0,55,2530,44300
330,0,0,189,104,379,111,189,218,1,1,0,1,50,2172,84835
331,1,1,15,0,12,7,3,7,3,7,0,0,49,2710,30372
332,1,0,9,0,3,0,0,4,1,6,0,0,44,2336,33181
333,0,1,495,33,255,11,33,8,4,4,0,0,63,2353,71113
334,1,0,656,80,455,52,107,93,2,4,0,0,34,2694,71952
335,0,0,452,20,514,13,30,0,3,3,0,1,54,2403,69759
336,0,0,546,91,410,119,0,22,1,1,0,0,46,2769,72099
337,0,1,1048,0,217,0,0,12,5,6,0,0,44,2713,60000
338,1,1,22,2,14,0,1,10,2,7,1,0,42,2371,38643
339,0,1,78,0,11,0,0,10,1,6,0,0,65,2573,50737
340,0,0,561,64,785,84,128,48,1,1,0,0,51,2723,68462
341,0,0,629,17,177,69,0,8,1,2,1,0,77,2472,65073
342,0,2,269,15,69,15,19,38,2,5,0,0,72,2423,46681
343,0,0,736,163,818,212,163,61,1,2,0,0,63,2798,78618
344,0,1,512,0,83,0,0,41,3,4,0,0,51,2258,62187
345,2,0,19,3,10,11,8,6,3,4,0,0,42,2284,28442
346,1,0,9,0,6,4,1,5,1,9,0,0,42,2742,37717
347,1,1,247,8,160,6,8,65,7,7,0,0,53,2707,51479
348,0,1,404,0,92,28,27,142,2,4,0,0,51,2836,54803
349,0,0,333,0,815,129,42,29,1,2,0,0,60,2567,79530
350,1,0,2,3,20,6,11,9,2,7,0,0,44,2629,31615
351,0,0,833,33,549,151,133,233,1,3,0,0,58,2748,72025
352,0,1,789,0,142,12,9,38,2,8,0,0,45,2734,52614
353,1,0,10,4,7,0,6,3,1,6,0,0,36,2227,35684
354,1,1,159,4,45,6,2,38,6,8,0,0,45,2768,48178
355,1,0,7,1,6,3,1,11,1,4,0,0,50,2463,29548
356,0,1,977,12,253,16,12,101,4,8,0,0,54,2754,63810
357,1,1,38,4,22,3,3,3,3,8,0,1,48,2531,38578
358,1,1,57,0,27,0,0,36,4,8,0,0,45,2839,46098
359,0,0,3,9,15,13,2,39,1,9,0,1,50,2627,22585
360,1,0,10,4,14,4,4,1,1,8,0,0,31,2705,30279
361,0,1,1043,24,97,32,24,157,2,6,0,0,59,2429,66426
362,1,0,3,9,13,2,12,12,1,7,0,0,51,2539,30822
363,2,0,11,0,5,0,0,1,1,8,0,0,51,2696,33581
364,1,0,3,6,5,0,2,6,1,7,0,0,35,2386,19986
365,0,0,43,12,96,78,40,55,3,7,0,0,66,2723,27421
366,2,1,73,3,90,12,1,32,7,8,0,0,47,2835,35688
367,1,0,12,0,1,0,0,6,1,3,0,0,39,2250,36143
368,1,0,4,7,7,6,4,13,3,5,0,0,49,2569,10245
369,0,1,314,11,53,4,3,107,3,7,0,1,52,2415,43795
370,0,1,571,50,142,33,50,159,4,2,0,0,60,2791,63381
371,0,1,70,0,11,2,8,23,1,6,0,0,71,2827,38823
372,1,1,866,21,151,28,21,86,3,5,0,0,52,2576,83664
373,0,0,594,134,786,33,134,57,0,1,0,0,41,2336,90300
374,1,0,140,4,61,0,13,4,2,4,0,0,41,2361,62499
375,0,0,375,152,335,93,91,81,1,2,0,0,27,2215,74293
376,0,0,102,9,63,2,9,24,1,6,0,0,74,2596,51012
377,0,1,554,35,113,0,7,78,3,3,0,0,52,2283,70777
378,0,0,919,0,505,99,30,45,1,2,0,0,29,2425,68682
379,1,1,96,1,42,12,3,32,4,8,0,0,49,2811,43824
380,1,0,5,2,16,3,2,19,2,8,0,1,36,2826,15345
381,1,0,2,0,6,8,6,5,1,7,0,0,33,2711,23442
382,1,0,6,4,9,6,36,35,4,7,0,1,40,2756,14515
383,1,1,23,1,25,0,8,7,4,6,0,0,64,2622,31395
384,0,0,610,105,125,137,42,21,1,5,0,0,55,2799,75276
385,1,1,67,5,61,3,8,19,5,5,0,0,46,2477,42373
386,0,0,65,36,74,38,20,110,1,7,0,0,60,2634,30507
387,1,2,416,0,26,0,0,4,9,7,0,1,65,2409,55521
388,1,1,23,0,11,3,2,2,1,6,0,0,55,2179,48006
389,1,0,19,3,26,10,9,3,3,8,0,1,48,2827,27213
390,1,1,155,7,80,13,7,10,3,6,0,0,49,2189,65808
391,1,0,14,0,24,3,3,2,1,9,0,0,46,2547,30351
392,0,2,370,9,92,6,9,4,3,7,0,0,57,2779,50437
393,1,0,4,22,11,3,7,32,2,8,0,1,38,2748,23616
394,0,1,407,53,221,58,150,26,4,4,0,0,44,2756,53858
395,0,1,1200,0,204,38,29,14,3,6,0,0,65,2615,66465
396,1,0,85,44,54,102,78,6,3,7,0,0,33,2835,46923
397,0,1,583,34,309,0,22,125,2,3,0,0,58,2681,75072
398,0,0,483,0,591,156,0,12,1,1,0,0,77,2249,75865
399,1,0,2,5,9,28,6,28,3,5,0,0,45,2380,19789
400,0,0,966,26,282,52,26,26,1,5,0,0,26,2294,80134
401,0,0,822,114,108,179,137,114,1,3,0,1,39,2651,91065
402,1,1,604,0,100,19,0,28,9,8,0,0,49,2640,49505
403,1,0,19,3,19,3,1,3,2,7,0,0,47,2213,37401
404,1,0,5,3,11,12,5,9,1,6,0,0,37,2197,30096
405,1,0,2,2,2,2,1,1,1,8,0,0,38,2183,18492
